org_code,org_name,event_title,event_date,event_time,end_time,category,description,url
AUP,Arts University Plymouth,Museum Discovery Session,2026-02-11,10:00,12:00,Heritage,"Explore Plymouth's rich history through guided talks, artefacts, and archival material. Led by our expert team, this session offers a rare look behind the scenes of our collections.",
AUP,Arts University Plymouth,Family Gallery Trail,2026-03-03,10:00,12:00,Family,"Perfect for families looking for a memorable cultural day out. Engaging activities, friendly staff, and a welcoming environment for children and adults alike.",
AUP,Arts University Plymouth,Artist Talk,2026-03-26,18:00,19:30,Heritage,Join us for an immersive session delving into the stories that shaped Plymouth and the South West. Perfect for history enthusiasts of all ages.,
AUP,Arts University Plymouth,Creative Drop-in,2026-04-14,11:00,13:00,Workshop,"Get hands-on and develop your creative skills in this friendly, structured workshop. All materials provided — no experience necessary.",
AUP,Arts University Plymouth,Object Handling Session,2026-05-24,13:00,14:30,Heritage,"Explore Plymouth's rich history through guided talks, artefacts, and archival material. Led by our expert team, this session offers a rare look behind the scenes of our collections.",
AUP,Arts University Plymouth,Open Studio Day,2026-05-28,10:00,16:00,Visual Arts,"A celebration of visual art in all its forms. Browse works in progress, meet the makers, and explore our dedicated studios and gallery spaces.",
AUP,Arts University Plymouth,Archive Visit,2026-07-19,10:00,12:00,Heritage,"Explore Plymouth's rich history through guided talks, artefacts, and archival material. Led by our expert team, this session offers a rare look behind the scenes of our collections.",
AUP,Arts University Plymouth,Local History Talk,2026-07-26,18:00,19:30,Heritage,A fascinating look at Plymouth's cultural and maritime heritage. Our team of experts will guide you through rarely seen collections and archival treasures.,
AUP,Arts University Plymouth,Behind the Scenes Tour,2026-09-21,11:00,12:30,Heritage,"Explore Plymouth's rich history through guided talks, artefacts, and archival material. Led by our expert team, this session offers a rare look behind the scenes of our collections.",
AUP,Arts University Plymouth,Community Exhibition,2026-10-04,10:00,15:00,Exhibition,A curated display bringing together diverse perspectives and artistic voices from across Plymouth and beyond. Guided tours available on request.,
AUP,Arts University Plymouth,Community Collection Day,2026-10-07,10:00,15:00,Community,Open to everyone — come along and be part of Plymouth's vibrant community arts scene. Refreshments provided.,
AUP,Arts University Plymouth,School Holiday Activity,2026-10-11,10:00,13:00,Family,"Bring the whole family for an afternoon of creative discovery. Activities are designed to be enjoyed together, with something for every age.",
